Journal title,ISSN,eISSN,Categorias,Indexador
Therapeutic Advances In Pulmonary And Critical Care Medicine,2976-8675,2976-8675,Respiratory System,Web of Science - ESCI
Therapeutic Advances In Rare Disease,2633-0040,2633-0040,"Medicine, General & Internal",Web of Science - ESCI
Therapeutic Advances In Reproductive Health,2633-4941,2633-4941,Obstetrics & Gynecology,Web of Science - ESCI
Therapeutic Advances In Respiratory Disease,1753-4658,1753-4666,Respiratory System,Web of Science - SCIE
Therapeutic Advances In Urology,1756-2872,1756-2880,Urology & Nephrology,Web of Science - SCIE
Therapeutic Apheresis And Dialysis,1744-9979,1744-9987,"Hematology, Urology & Nephrology",Web of Science - SCIE
Therapeutic Communities,0964-1866,2052-4730,Substance Abuse,Web of Science - ESCI
Therapeutic Delivery,2041-5990,2041-6008,Pharmacology & Pharmacy,Web of Science - ESCI
Therapeutic Drug Monitoring,0163-4356,1536-3694,"Medical Laboratory Technology, Pharmacology & Pharmacy, Toxicology",Web of Science - SCIE
Therapeutic Hypothermia And Temperature Management,2153-7658,2153-7933,Critical Care Medicine,Web of Science - SCIE
Therapeutic Innovation & Regulatory Science,2168-4790,2168-4804,"Medical Informatics, Pharmacology & Pharmacy",Web of Science - SCIE
Therapeutic Recreation Journal,0040-5914,2159-6433,Rehabilitation,Web of Science - ESCI
Therapeutics And Clinical Risk Management,1178-203X,1178-203X,Health Care Sciences & Services,Web of Science - SCIE
Therapeutische Umschau,0040-5930,1664-2864,"Medicine, General & Internal",Web of Science - ESCI
Therapie,0040-5957,1958-5578,Pharmacology & Pharmacy,Web of Science - SCIE
Theriogenology,0093-691X,1879-3231,"Reproductive Biology, Veterinary Sciences",Web of Science - SCIE
Theriogenology Wild,2773-093X,2773-093X,"Veterinary Sciences, Reproductive Biology",Web of Science - ESCI
Thermal Engineering,0040-6015,1555-6301,"Thermodynamics, Energy & Fuels",Web of Science - ESCI
Thermal Science,0354-9836,2334-7163,Thermodynamics,Web of Science - SCIE
Thermal Science And Engineering Progress,2451-9049,2451-9049,"Thermodynamics, Energy & Fuels, Engineering, Mechanical, Mechanics",Web of Science - SCIE
Thermo,2673-7264,2673-7264,Thermodynamics,Web of Science - ESCI
Thermochimica Acta,0040-6031,1872-762X,"Thermodynamics, Chemistry, Analytical, Physical",Web of Science - SCIE
Thermophysics And Aeromechanics,0869-8643,1531-8699,"Engineering, Aerospace, Thermodynamics, Mechanical, Mechanics",Web of Science - SCIE
Thesis Eleven,0725-5136,1461-7455,Sociology,Web of Science - ESCI
Thinking & Reasoning,1354-6783,1464-0708,"Psychology, Experimental",Web of Science - SSCI
Thinking Skills And Creativity,1871-1871,1878-0423,Education & Educational Research,Web of Science - SSCI
Think-Philosophy For Everyone,1477-1756,1755-1196,Philosophy,Web of Science - ESCI
Thin Solid Films,0040-6090,1879-2731,"Materials Science, Multidisciplinary, Coatings & Films, Physics, Applied, Condensed Matter",Web of Science - SCIE
Thin-Walled Structures,0263-8231,1879-3223,"Engineering, Civil, Mechanical, Mechanics",Web of Science - SCIE
Third Text,0952-8822,1475-5297,Art,Web of Science - AHCI
Third World Quarterly,0143-6597,1360-2241,Development Studies,Web of Science - SSCI
Thomas Wolfe Review,0276-5683,2169-1452,"Literature, American",Web of Science - AHCI
Thomist,0040-6325,,"Philosophy, Religion",Web of Science - AHCI
Th Open,2567-3459,2512-9465,"Hematology, Peripheral Vascular Diseases",Web of Science - ESCI
Thoracic And Cardiovascular Surgeon,0171-6425,1439-1902,"Cardiac & Cardiovascular System, Respiratory System, Surgery",Web of Science - SCIE
Thoracic And Cardiovascular Surgeon Reports,2194-7635,2194-7643,Surgery,Web of Science - ESCI
Thoracic Cancer,1759-7706,1759-7714,"Oncology, Respiratory System",Web of Science - SCIE
Thoracic Research And Practice,2979-9139,2979-9139,Respiratory System,Web of Science - ESCI
Thoracic Surgery Clinics,1547-4127,1558-5069,"Respiratory System, Surgery",Web of Science - SCIE
Thorax,0040-6376,1468-3296,Respiratory System,Web of Science - SCIE
Thought-A Journal Of Philosophy,2161-2234,2161-2234,Philosophy,Web of Science - AHCI
Thresholds,1091-711X,2572-7338,"Architecture, Art",Web of Science - ESCI
Thrombosis And Haemostasis,0340-6245,2567-689X,"Hematology, Peripheral Vascular Diseases",Web of Science - SCIE
Thrombosis Journal,1477-9560,1477-9560,"Hematology, Peripheral Vascular Diseases",Web of Science - SCIE
Thrombosis Research,0049-3848,1879-2472,"Hematology, Peripheral Vascular Diseases",Web of Science - SCIE
Thunderbird International Business Review,1096-4762,1520-6874,Business,Web of Science - ESCI
Thyroid,1050-7256,1557-9077,Endocrinology & Metabolism,Web of Science - SCIE
Thyroid Research,1756-6614,1756-6614,Endocrinology & Metabolism,Web of Science - ESCI
Ticks And Tick-Borne Diseases,1877-959X,1877-9603,"Infectious Diseases, Microbiology, Parasitology",Web of Science - SCIE
Ticontre-Teoria Testo Traduzione,2284-4473,2284-4473,Literary Theory & Criticism,Web of Science - ESCI
Tidsskrift For Den Norske Laegeforening,0029-2001,0807-7096,"Medicine, General & Internal",Web of Science - ESCI
Tidsskrift For Samfunnsforskning,0040-716X,1504-291X,"Social Sciences, Interdisciplinary",Web of Science - SSCI
Tiempos Modernos-Revista Electronica De Historia Moderna,1699-7778,1699-7778,History,Web of Science - ESCI
Tieraerztliche Praxis Ausgabe Grosstiere Nutztiere,1434-1220,2567-5834,Veterinary Sciences,Web of Science - SCIE
Tieraerztliche Praxis Ausgabe Kleintiere Heimtiere,1434-1239,2567-5842,Veterinary Sciences,Web of Science - SCIE
Tieraerztliche Umschau,0049-3864,,Veterinary Sciences,Web of Science - SCIE
Tijdschrift Voor Communicatiewetenschap,1384-6930,1875-7286,Communication,Web of Science - SSCI
Tijdschrift Voor Economische En Sociale Geografie,0040-747X,1467-9663,"Economics, Geography",Web of Science - SSCI
Tijdschrift Voor Filosofie,0040-750X,2031-8952,Philosophy,Web of Science - AHCI
Tijdschrift Voor Geschiedenis,0040-7518,0040-7518,History,Web of Science - AHCI
Tijdschrift Voor Nederlandse Taal-En Letterkunde,0040-7550,2212-0521,"Literature, German, Dutch, Scandinavian",Web of Science - AHCI
Tijdschrift Voor Rechtsgeschiedenis-Revue D Histoire Du Droit-The Legal History Review,0040-7585,0040-7585,"History, Law","Web of Science - AHCI, Web of Science - SSCI"
Tilburg Law Review-Journal Of International And European Law,2211-0046,2211-2596,Law,Web of Science - ESCI
Timarit Um Uppeldi Og Menntun-Icelandic Journal Of Education,2298-8394,2298-8408,Education & Educational Research,Web of Science - ESCI
Time & Mind-The Journal Of Archaeology Consciousness And Culture,1751-696X,1751-6978,Archaeology,Web of Science - AHCI
Time & Society,0961-463X,1461-7463,"Social Sciences, Interdisciplinary",Web of Science - SSCI
Timing & Time Perception,2213-445X,2213-4468,"Neurosciences, Psychology, Experimental",Web of Science - ESCI
Tintas-Quaderni Di Letterature Iberiche E Iberoamericane,2240-5437,2240-5437,"Literature, Romance",Web of Science - ESCI
Tirant,1579-7422,1579-7422,Medieval & Renaissance Studies,Web of Science - ESCI
Tire Science And Technology,0090-8657,1945-5852,"Engineering, Mechanical",Web of Science - ESCI
Tissue & Cell,0040-8166,1532-3072,"Anatomy & Morphology, Cell Biology",Web of Science - SCIE
Tissue Barriers,2168-8370,2168-8370,"Medicine, Research & Experimental",Web of Science - ESCI
Tissue Engineering And Regenerative Medicine,1738-2696,2212-5469,"Cell & Tissue Engineering, Engineering, Biomedical",Web of Science - SCIE
Tissue Engineering Part A,1937-3341,1937-335X,"Cell & Tissue Engineering, Cell Biology, Engineering, Biomedical, Materials Science, Biomaterials",Web of Science - SCIE
Tissue Engineering Part B-Reviews,1937-3368,1937-3376,"Cell & Tissue Engineering, Cell Biology, Engineering, Biomedical, Materials Science, Biomaterials",Web of Science - SCIE
Tissue Engineering Part C-Methods,1937-3384,1937-3392,"Cell & Tissue Engineering, Cell Biology, Engineering, Biomedical, Materials Science, Biomaterials",Web of Science - SCIE
Tizard Learning Disability Review,1359-5474,2042-8782,"Education, Special",Web of Science - ESCI
Tm-Technisches Messen,0171-8096,2196-7113,Instruments & Instrumentation,Web of Science - SCIE
Tobacco Control,0964-4563,1468-3318,"Substance Abuse, Public, Environmental & Occupational Health","Web of Science - SCIE, Web of Science - SSCI"
Tobacco Induced Diseases,1617-9625,1617-9625,"Substance Abuse, Public, Environmental & Occupational Health","Web of Science - SCIE, Web of Science - SSCI"
Tobacco Prevention & Cessation,2459-3087,2459-3087,Substance Abuse,Web of Science - ESCI
Tobacco Use Insights,1179-173X,1179-173X,"Public, Environmental & Occupational Health",Web of Science - ESCI
Tocqueville Review,0730-479X,1918-6649,Political Science,Web of Science - ESCI
Tohoku Journal Of Experimental Medicine,0040-8727,1349-3329,"Medicine, General & Internal, Research & Experimental",Web of Science - SCIE
Tohoku Mathematical Journal,0040-8735,0040-8735,Mathematics,Web of Science - SCIE
Tokyo Journal Of Mathematics,0387-3870,,Mathematics,Web of Science - SCIE
Tomography,2379-1381,2379-139X,"Radiology, Nuclear Medicine & Medical Imaging",Web of Science - SCIE
Tomskii Zhurnal Lingvisticheskikh I Antropologicheskikh Issledovanii-Tomsk Journal Of Linguistics And Anthropology,2307-6119,2307-6119,Anthropology,Web of Science - ESCI
Tomsk State University Journal,1561-7793,1561-803X,Multidisciplinary Sciences,Web of Science - ESCI
Top,1134-5764,1863-8279,Operations Research & Management Science,Web of Science - SCIE
Topia-Canadian Journal Of Cultural Studies,1206-0143,1916-0194,Cultural Studies,"Web of Science - AHCI, Web of Science - SSCI"
Topicos-Revista De Filosofia,0188-6649,2007-8498,Philosophy,Web of Science - ESCI
Topics In Catalysis,1022-5528,1572-9028,"Chemistry, Applied, Physical",Web of Science - SCIE
Topics In Clinical Nutrition,0883-5691,1550-5146,Nutrition & Dietetics,Web of Science - SCIE
Topics In Cognitive Science,1756-8757,1756-8765,"Psychology, Experimental",Web of Science - SSCI
Topics In Companion Animal Medicine,1938-9736,1946-9837,Veterinary Sciences,Web of Science - SCIE
Topics In Current Chemistry,2365-0869,2364-8961,"Chemistry, Multidisciplinary",Web of Science - SCIE
Topics In Early Childhood Special Education,0271-1214,1538-4845,"Education, Special",Web of Science - SSCI
Topics In Geriatric Rehabilitation,0882-7524,1550-2414,"Gerontology, Rehabilitation",Web of Science - SSCI
Topics In Language Disorders,0271-8294,1550-3259,"Linguistics, Rehabilitation",Web of Science - SSCI
Topics In Linguistics,1337-7590,2199-6504,Language & Linguistics,Web of Science - ESCI
Topics In Spinal Cord Injury Rehabilitation,1082-0744,1945-5763,Rehabilitation,Web of Science - ESCI
Topics In Stroke Rehabilitation,1074-9357,1945-5119,Rehabilitation,Web of Science - SCIE
Topoi-An International Review Of Philosophy,0167-7411,1572-8749,Philosophy,Web of Science - AHCI
Topoi-Revista De Historia,2237-101X,2237-101X,History,Web of Science - ESCI
Topological Methods In Nonlinear Analysis,1230-3429,1230-3429,Mathematics,Web of Science - SCIE
Topology And Its Applications,0166-8641,1879-3207,"Mathematics, Applied",Web of Science - SCIE
Toronto Journal Of Theology,0826-9831,1918-6371,Religion,Web of Science - ESCI
Torre Del Virrey-Revista De Estudios Culturales,1885-7353,2255-2022,"Humanities, Multidisciplinary",Web of Science - ESCI
Torres De Lucca-Revista Internacional De Filosofia Politica,2255-3827,2255-3827,Philosophy,Web of Science - ESCI
Tort Law Review,1039-3285,1039-3285,Law,Web of Science - ESCI
Totalitarismus Und Demokratie,1612-9008,2196-8276,Political Science,Web of Science - ESCI
Total Quality Management & Business Excellence,1478-3363,1478-3371,Management,Web of Science - SSCI
Toung Pao,0082-5433,1568-5322,Asian Studies,Web of Science - AHCI
Tourism,1332-7461,1849-1545,"Hospitality, Leisure, Sport & Tourism",Web of Science - ESCI
Tourism Analysis,1083-5423,1943-3999,"Hospitality, Leisure, Sport & Tourism",Web of Science - ESCI
Tourism And Hospitality Management-Croatia,1330-7533,1847-3377,"Hospitality, Leisure, Sport & Tourism",Web of Science - ESCI
Tourism And Hospitality Research,1467-3584,1742-9692,"Hospitality, Leisure, Sport & Tourism",Web of Science - ESCI
Tourism & Management Studies,2182-8458,2182-8466,"Hospitality, Leisure, Sport & Tourism",Web of Science - ESCI
Tourism Culture & Communication,1098-304X,1943-4146,"Hospitality, Leisure, Sport & Tourism",Web of Science - ESCI
Tourism Economics,1354-8166,2044-0375,"Economics, Hospitality, Leisure, Sport & Tourism",Web of Science - SSCI
Tourism Geographies,1461-6688,1470-1340,"Hospitality, Leisure, Sport & Tourism",Web of Science - SSCI
Tourism Management,0261-5177,1879-3193,"Environmental Studies, Hospitality, Leisure, Sport & Tourism, Management",Web of Science - SSCI
Tourism Management Perspectives,2211-9736,2211-9744,"Hospitality, Leisure, Sport & Tourism, Management",Web of Science - SSCI
Tourism Planning & Development,2156-8316,2156-8324,"Hospitality, Leisure, Sport & Tourism",Web of Science - ESCI
Tourism Recreation Research,0250-8281,2320-0308,"Hospitality, Leisure, Sport & Tourism",Web of Science - ESCI
Tourism Review,1660-5373,1759-8451,"Hospitality, Leisure, Sport & Tourism",Web of Science - SSCI
Tourism Review International,1544-2721,1943-4421,"Hospitality, Leisure, Sport & Tourism",Web of Science - ESCI
Tourist Studies,1468-7976,1741-3206,"Hospitality, Leisure, Sport & Tourism",Web of Science - SSCI
Town And Regional Planning,1012-280X,2415-0495,Regional & Urban Planning,Web of Science - ESCI
Town Planning Review,0041-0020,1478-341X,Urban Studies,Web of Science - ESCI
Toxicological And Environmental Chemistry,0277-2248,1029-0486,"Environmental Sciences, Toxicology",Web of Science - SCIE
Toxicological Research,1976-8257,2234-2753,Toxicology,Web of Science - SCIE
Toxicological Sciences,1096-6080,1096-0929,Toxicology,Web of Science - SCIE
Toxicologic Pathology,0192-6233,1533-1601,"Pathology, Toxicology",Web of Science - SCIE
Toxicologie Analytique Et Clinique,2352-0078,2352-0086,Toxicology,Web of Science - ESCI
Toxicology,0300-483X,1879-3185,"Pharmacology & Pharmacy, Toxicology",Web of Science - SCIE
Toxicology And Applied Pharmacology,0041-008X,1096-0333,"Pharmacology & Pharmacy, Toxicology",Web of Science - SCIE
Toxicology And Environmental Health Sciences,2005-9752,2233-7784,"Environmental Sciences, Toxicology",Web of Science - ESCI
Toxicology And Industrial Health,0748-2337,1477-0393,"Public, Environmental & Occupational Health, Toxicology",Web of Science - SCIE
Toxicology Communications,2473-4306,2473-4306,Toxicology,Web of Science - ESCI
Toxicology In Vitro,0887-2333,1879-3177,Toxicology,Web of Science - SCIE
Toxicology Letters,0378-4274,1879-3169,Toxicology,Web of Science - SCIE
Toxicology Mechanisms And Methods,1537-6516,1537-6524,Toxicology,Web of Science - SCIE
Toxicology Research,2045-452X,2045-4538,Toxicology,Web of Science - SCIE
Toxicon,0041-0101,1879-3150,"Pharmacology & Pharmacy, Toxicology",Web of Science - SCIE
Toxicon-X,2590-1710,2590-1710,Toxicology,Web of Science - ESCI
Toxics,2305-6304,2305-6304,"Environmental Sciences, Toxicology",Web of Science - SCIE
Toxin Reviews,1556-9543,1556-9551,Toxicology,Web of Science - SCIE
Toxins,2072-6651,2072-6651,Toxicology,Web of Science - SCIE
Tqm Journal,1754-2731,1754-274X,Management,Web of Science - ESCI
Trabajos De Prehistoria,0082-5638,1988-3218,"Anthropology, Archaeology","Web of Science - AHCI, Web of Science - SSCI"
Trabajo Social,0123-4986,2256-5493,Social Work,Web of Science - ESCI
Trabajo Social Global-Global Social Work,2013-6757,2013-6757,Social Work,Web of Science - ESCI
Trabajos Y Comunicaciones,0325-173X,2346-8971,History,Web of Science - ESCI
Trace Elements And Electrolytes,0946-2104,0946-2104,"Biochemistry & Molecular Biology, Endocrinology & Metabolism",Web of Science - SCIE
Trac-Trends In Analytical Chemistry,0165-9936,1879-3142,"Chemistry, Analytical",Web of Science - SCIE
Tradition-A Journal Of Orthodox Jewish Thought,0041-0608,2768-0231,"Humanities, Multidisciplinary, Philosophy, Religion",Web of Science - ESCI
